SKU,Brand,Raw_Material,Quantity_Used
69,Velvet Freeze,Milk,8.11
69,Velvet Freeze,Fruit,8.78
70,Velvet Freeze,Milk,8.84
70,Velvet Freeze,Chocolate,5.36
70,Velvet Freeze,Fruit,8.57
70,Velvet Freeze,Vanilla Extract,7.45
71,Creamy Bliss,Flavoring,7.37
71,Creamy Bliss,Packaging,2.56
71,Creamy Bliss,Sugar,6.03
71,Creamy Bliss,Chocolate,3.72
71,Creamy Bliss,Emulsifiers,8.7
72,Creamy Bliss,Packaging,9.27
72,Creamy Bliss,Vanilla Extract,9.94
72,Creamy Bliss,Milk,5.97
72,Creamy Bliss,Sugar,0.81
73,Polar Joy,Emulsifiers,8.76
73,Polar Joy,Packaging,8.05
73,Polar Joy,Fruit,9.31
74,Polar Joy,Vanilla Extract,4.69
74,Polar Joy,Stabilizers,9.12
74,Polar Joy,Fruit,7.65
74,Polar Joy,Packaging,7.66
75,Arctic Treats,Sugar,2.16
75,Arctic Treats,Fruit,0.93
75,Arctic Treats,Chocolate,5.02
76,Sunny Scoops,Fruit,3.72
76,Sunny Scoops,Flavoring,4.07
76,Sunny Scoops,Milk,3.33
76,Sunny Scoops,Chocolate,1.18
76,Sunny Scoops,Cream,3.97
77,Frosty Delights,Flavoring,6.87
77,Frosty Delights,Chocolate,3.72
77,Frosty Delights,Fruit,4.1
78,Sunny Scoops,Sugar,2.28
78,Sunny Scoops,Emulsifiers,2.93
78,Sunny Scoops,Milk,5.07
78,Sunny Scoops,Vanilla Extract,6.61
78,Sunny Scoops,Cream,6.73
79,Frosty Delights,Flavoring,2.62
79,Frosty Delights,Stabilizers,6.48
79,Frosty Delights,Vanilla Extract,8.95
79,Frosty Delights,Emulsifiers,8.55
79,Frosty Delights,Cream,1.32
80,Velvet Freeze,Vanilla Extract,9.46
80,Velvet Freeze,Flavoring,9.69
80,Velvet Freeze,Chocolate,6.84
81,Arctic Treats,Chocolate,4.97
81,Arctic Treats,Cream,6.4
81,Arctic Treats,Packaging,7.58
81,Arctic Treats,Emulsifiers,1.02
82,Sunny Scoops,Packaging,5.98
82,Sunny Scoops,Emulsifiers,9.05
82,Sunny Scoops,Chocolate,1.29
82,Sunny Scoops,Stabilizers,5.86
82,Sunny Scoops,Vanilla Extract,8.16
83,Velvet Freeze,Fruit,8.19
83,Velvet Freeze,Cream,6.37
83,Velvet Freeze,Emulsifiers,1.42
84,Sunny Scoops,Emulsifiers,7.4
84,Sunny Scoops,Vanilla Extract,1.22
84,Sunny Scoops,Stabilizers,0.97
84,Sunny Scoops,Cream,8.64
84,Sunny Scoops,Packaging,7.17
85,Velvet Freeze,Stabilizers,9.82
85,Velvet Freeze,Milk,3.87
85,Velvet Freeze,Vanilla Extract,2.93
85,Velvet Freeze,Cream,3.21
85,Velvet Freeze,Sugar,2.18
86,Sunny Scoops,Chocolate,9.91
86,Sunny Scoops,Vanilla Extract,0.69
86,Sunny Scoops,Fruit,7.54
86,Sunny Scoops,Milk,7.28
86,Sunny Scoops,Emulsifiers,8.73
87,Polar Joy,Fruit,1.51
87,Polar Joy,Milk,5.71
87,Polar Joy,Flavoring,0.75
87,Polar Joy,Emulsifiers,8.35
88,Frosty Delights,Flavoring,1.39
88,Frosty Delights,Chocolate,4.69
88,Frosty Delights,Fruit,8.55
88,Frosty Delights,Stabilizers,5.32
88,Frosty Delights,Cream,3.32
89,Frosty Delights,Flavoring,6.91
89,Frosty Delights,Packaging,3.48
89,Frosty Delights,Milk,5.33
89,Frosty Delights,Vanilla Extract,9.51
90,Velvet Freeze,Vanilla Extract,9.34
90,Velvet Freeze,Sugar,4.97
90,Velvet Freeze,Emulsifiers,6.93
90,Velvet Freeze,Packaging,2.64
90,Velvet Freeze,Chocolate,8.75
91,Arctic Treats,Sugar,7.66
91,Arctic Treats,Emulsifiers,9.27
91,Arctic Treats,Packaging,0.94
92,Velvet Freeze,Sugar,9.63
92,Velvet Freeze,Chocolate,3.63
92,Velvet Freeze,Flavoring,4
92,Velvet Freeze,Emulsifiers,5.1
92,Velvet Freeze,Milk,6.44
93,Arctic Treats,Sugar,7.66
93,Arctic Treats,Packaging,4.1
93,Arctic Treats,Emulsifiers,9.71
93,Arctic Treats,Stabilizers,8.49
94,Velvet Freeze,Vanilla Extract,0.85
94,Velvet Freeze,Milk,8.02
94,Velvet Freeze,Packaging,8.61
94,Velvet Freeze,Flavoring,6.76
95,Arctic Treats,Cream,9.11
95,Arctic Treats,Emulsifiers,6.4
95,Arctic Treats,Stabilizers,6.49
96,Velvet Freeze,Vanilla Extract,1.71
96,Velvet Freeze,Stabilizers,0.96
96,Velvet Freeze,Sugar,8.3
97,Sunny Scoops,Packaging,3.37
97,Sunny Scoops,Flavoring,5.58
97,Sunny Scoops,Emulsifiers,9
97,Sunny Scoops,Chocolate,4.35
98,Frosty Delights,Packaging,9.83
98,Frosty Delights,Sugar,7.93
98,Frosty Delights,Flavoring,5.84
98,Frosty Delights,Emulsifiers,5.24
99,Polar Joy,Sugar,3.18
99,Polar Joy,Stabilizers,1.67
99,Polar Joy,Fruit,8.18
99,Polar Joy,Cream,7.89
99,Polar Joy,Packaging,7.56
100,Creamy Bliss,Cream,9.38
100,Creamy Bliss,Packaging,3.11
100,Creamy Bliss,Emulsifiers,7.31
100,Creamy Bliss,Sugar,5.85
100,Creamy Bliss,Fruit,6.91
101,Arctic Treats,Cream,2.53
101,Arctic Treats,Vanilla Extract,4.18
101,Arctic Treats,Packaging,8.2
101,Arctic Treats,Sugar,9.44
101,Arctic Treats,Fruit,1.05
102,Creamy Bliss,Sugar,8.08
102,Creamy Bliss,Vanilla Extract,1.73
102,Creamy Bliss,Chocolate,6.57
103,Frosty Delights,Flavoring,2.86
103,Frosty Delights,Chocolate,8.41
103,Frosty Delights,Milk,9.56
103,Frosty Delights,Stabilizers,5.2
104,Creamy Bliss,Packaging,6.14
104,Creamy Bliss,Fruit,8.81
104,Creamy Bliss,Stabilizers,5.53
104,Creamy Bliss,Flavoring,6.25
104,Creamy Bliss,Vanilla Extract,8.72
105,Frosty Delights,Sugar,9.61
105,Frosty Delights,Fruit,6.56
105,Frosty Delights,Flavoring,2.78
105,Frosty Delights,Emulsifiers,9.35
105,Frosty Delights,Packaging,5.27
106,Arctic Treats,Chocolate,1.34
106,Arctic Treats,Emulsifiers,3.81
106,Arctic Treats,Milk,2.41
106,Arctic Treats,Fruit,7.34
106,Arctic Treats,Packaging,9.64
107,Arctic Treats,Milk,7.67
107,Arctic Treats,Emulsifiers,7.69
107,Arctic Treats,Stabilizers,1.44
108,Frosty Delights,Sugar,5.64
108,Frosty Delights,Cream,0.68
108,Frosty Delights,Fruit,9.72
108,Frosty Delights,Chocolate,8.32
109,Arctic Treats,Chocolate,7.73
109,Arctic Treats,Milk,1.29
109,Arctic Treats,Fruit,9.28
110,Frosty Delights,Sugar,1.89
110,Frosty Delights,Cream,4.24
110,Frosty Delights,Flavoring,5.58
110,Frosty Delights,Stabilizers,8.64
111,Velvet Freeze,Cream,9.2
111,Velvet Freeze,Packaging,6.78
111,Velvet Freeze,Flavoring,8.81
111,Velvet Freeze,Fruit,4
112,Arctic Treats,Emulsifiers,7.61
112,Arctic Treats,Milk,4.46
112,Arctic Treats,Cream,1.23
112,Arctic Treats,Vanilla Extract,8.05
113,Arctic Treats,Packaging,2.19
113,Arctic Treats,Flavoring,5.33
113,Arctic Treats,Fruit,4.36
114,Arctic Treats,Flavoring,8.11
114,Arctic Treats,Emulsifiers,9.9
114,Arctic Treats,Stabilizers,3.88
114,Arctic Treats,Milk,6.35
115,Sunny Scoops,Cream,4.43
115,Sunny Scoops,Vanilla Extract,4.98
115,Sunny Scoops,Chocolate,0.69
115,Sunny Scoops,Sugar,0.51
116,Sunny Scoops,Chocolate,4.37
116,Sunny Scoops,Emulsifiers,6.09
116,Sunny Scoops,Milk,2.46
116,Sunny Scoops,Cream,3.27
117,Sunny Scoops,Flavoring,8.07
117,Sunny Scoops,Emulsifiers,4.56
117,Sunny Scoops,Chocolate,9.04
117,Sunny Scoops,Packaging,9.13
117,Sunny Scoops,Cream,7.27
118,Arctic Treats,Cream,9.55
118,Arctic Treats,Chocolate,8.69
118,Arctic Treats,Sugar,2.7
118,Arctic Treats,Vanilla Extract,8.72
119,Frosty Delights,Sugar,1.73
119,Frosty Delights,Vanilla Extract,4.33
119,Frosty Delights,Cream,7.89
119,Frosty Delights,Chocolate,0.62
119,Frosty Delights,Packaging,5.01
120,Creamy Bliss,Stabilizers,2.93
120,Creamy Bliss,Flavoring,3.75
120,Creamy Bliss,Fruit,0.71
120,Creamy Bliss,Cream,9.23
121,Frosty Delights,Cream,4.02
121,Frosty Delights,Stabilizers,7.13
121,Frosty Delights,Fruit,7.41
121,Frosty Delights,Emulsifiers,4.98
121,Frosty Delights,Flavoring,7.51
122,Frosty Delights,Chocolate,4.9
122,Frosty Delights,Milk,4.32
122,Frosty Delights,Vanilla Extract,8.15
122,Frosty Delights,Emulsifiers,9.71
122,Frosty Delights,Stabilizers,5.4
123,Frosty Delights,Stabilizers,6.94
123,Frosty Delights,Vanilla Extract,5.58
123,Frosty Delights,Chocolate,5.75
123,Frosty Delights,Flavoring,8.54
123,Frosty Delights,Emulsifiers,5.59
124,Frosty Delights,Sugar,8.1
124,Frosty Delights,Cream,8.17
124,Frosty Delights,Emulsifiers,9.6
125,Polar Joy,Fruit,7.41
125,Polar Joy,Emulsifiers,5.25
125,Polar Joy,Sugar,1.49
125,Polar Joy,Chocolate,5.84
126,Frosty Delights,Vanilla Extract,8.19
126,Frosty Delights,Emulsifiers,3.81
126,Frosty Delights,Chocolate,7
127,Polar Joy,Cream,1.51
127,Polar Joy,Flavoring,6.29
127,Polar Joy,Emulsifiers,0.84
127,Polar Joy,Sugar,5.41
127,Polar Joy,Packaging,7.69
128,Velvet Freeze,Cream,4.12
128,Velvet Freeze,Flavoring,1.47
128,Velvet Freeze,Packaging,4.94
129,Frosty Delights,Sugar,8.09
129,Frosty Delights,Packaging,3.45
129,Frosty Delights,Stabilizers,9.07
129,Frosty Delights,Fruit,9.97
130,Sunny Scoops,Flavoring,5.03
130,Sunny Scoops,Milk,9.49
130,Sunny Scoops,Cream,2.5
131,Sunny Scoops,Milk,9.1
131,Sunny Scoops,Fruit,2.99
131,Sunny Scoops,Sugar,8.54
131,Sunny Scoops,Vanilla Extract,3.22
132,Arctic Treats,Sugar,9.77
132,Arctic Treats,Chocolate,6.35
132,Arctic Treats,Cream,3.51
132,Arctic Treats,Emulsifiers,3.47
133,Arctic Treats,Fruit,4.82
133,Arctic Treats,Sugar,8.32
133,Arctic Treats,Chocolate,1.04
133,Arctic Treats,Flavoring,1.87
133,Arctic Treats,Milk,4.43
134,Frosty Delights,Vanilla Extract,3.82
134,Frosty Delights,Sugar,4.45
134,Frosty Delights,Stabilizers,2.5
134,Frosty Delights,Fruit,7.88
135,Polar Joy,Cream,5.66
135,Polar Joy,Sugar,1.96
135,Polar Joy,Stabilizers,4.01
135,Polar Joy,Chocolate,4.13
135,Polar Joy,Flavoring,2.2
136,Frosty Delights,Stabilizers,6.85
136,Frosty Delights,Sugar,9.43
136,Frosty Delights,Vanilla Extract,7.98
137,Velvet Freeze,Milk,0.93
137,Velvet Freeze,Sugar,6.71
137,Velvet Freeze,Emulsifiers,5.62
137,Velvet Freeze,Fruit,2.04
137,Velvet Freeze,Packaging,7.07
138,Arctic Treats,Sugar,6.79
138,Arctic Treats,Vanilla Extract,9.4
138,Arctic Treats,Stabilizers,8.97
139,Polar Joy,Chocolate,4.75
139,Polar Joy,Sugar,8.23
139,Polar Joy,Milk,5.77
140,Frosty Delights,Cream,6.15
140,Frosty Delights,Chocolate,3.22
140,Frosty Delights,Milk,5.54
140,Frosty Delights,Emulsifiers,2.04
140,Frosty Delights,Vanilla Extract,4.29
141,Polar Joy,Emulsifiers,3.1
141,Polar Joy,Sugar,6.71
141,Polar Joy,Vanilla Extract,7.78
141,Polar Joy,Milk,6.83
141,Polar Joy,Flavoring,8.29
142,Creamy Bliss,Emulsifiers,4.01
142,Creamy Bliss,Fruit,3.04
142,Creamy Bliss,Sugar,1.57
143,Arctic Treats,Chocolate,2.72
143,Arctic Treats,Stabilizers,3.7
143,Arctic Treats,Cream,1.85
143,Arctic Treats,Flavoring,4.18
143,Arctic Treats,Sugar,5.87
144,Velvet Freeze,Cream,6
144,Velvet Freeze,Sugar,5.78
144,Velvet Freeze,Stabilizers,9.41
144,Velvet Freeze,Chocolate,7.01
144,Velvet Freeze,Packaging,5.52
145,Sunny Scoops,Milk,6.68
145,Sunny Scoops,Vanilla Extract,5.41
145,Sunny Scoops,Packaging,9.96
145,Sunny Scoops,Flavoring,7.31
146,Sunny Scoops,Chocolate,3.36
146,Sunny Scoops,Vanilla Extract,5.66
146,Sunny Scoops,Fruit,3.53
146,Sunny Scoops,Flavoring,0.98
147,Velvet Freeze,Flavoring,9.63
147,Velvet Freeze,Fruit,1.15
147,Velvet Freeze,Emulsifiers,4.79
148,Frosty Delights,Vanilla Extract,1.34
148,Frosty Delights,Milk,4.85
148,Frosty Delights,Chocolate,2.47
148,Frosty Delights,Cream,8.39
149,Creamy Bliss,Flavoring,3.91
149,Creamy Bliss,Fruit,2.79
149,Creamy Bliss,Chocolate,3.2
149,Creamy Bliss,Packaging,1.68
149,Creamy Bliss,Sugar,5.88
150,Sunny Scoops,Stabilizers,2.86
150,Sunny Scoops,Sugar,4.11
150,Sunny Scoops,Milk,8.81
150,Sunny Scoops,Chocolate,1.32
151,Polar Joy,Stabilizers,2.41
151,Polar Joy,Fruit,6.01
151,Polar Joy,Flavoring,9.73
152,Frosty Delights,Emulsifiers,9.53
152,Frosty Delights,Fruit,4.81
152,Frosty Delights,Flavoring,4.96
153,Sunny Scoops,Chocolate,5.54
153,Sunny Scoops,Vanilla Extract,6.09
153,Sunny Scoops,Sugar,5.89
153,Sunny Scoops,Cream,7.24
154,Frosty Delights,Fruit,2.47
154,Frosty Delights,Sugar,5.12
154,Frosty Delights,Emulsifiers,4.82
154,Frosty Delights,Milk,5.62
155,Creamy Bliss,Stabilizers,1.45
155,Creamy Bliss,Chocolate,3.62
155,Creamy Bliss,Vanilla Extract,5.07
156,Polar Joy,Fruit,9.37
156,Polar Joy,Vanilla Extract,3.98
156,Polar Joy,Emulsifiers,5.9
156,Polar Joy,Packaging,8.43
157,Arctic Treats,Flavoring,1.64
157,Arctic Treats,Emulsifiers,2.95
157,Arctic Treats,Fruit,1.29
157,Arctic Treats,Stabilizers,1.56
158,Velvet Freeze,Fruit,9.87
158,Velvet Freeze,Packaging,8.66
158,Velvet Freeze,Milk,9.5
159,Sunny Scoops,Fruit,7.99
159,Sunny Scoops,Cream,6.1
159,Sunny Scoops,Flavoring,8.52
159,Sunny Scoops,Chocolate,8.79
160,Velvet Freeze,Emulsifiers,4.14
160,Velvet Freeze,Fruit,8.35
160,Velvet Freeze,Vanilla Extract,2.51
160,Velvet Freeze,Sugar,5.34
160,Velvet Freeze,Cream,5.24
161,Velvet Freeze,Packaging,8.43
161,Velvet Freeze,Stabilizers,6.94
161,Velvet Freeze,Chocolate,4.73
161,Velvet Freeze,Sugar,3.95
161,Velvet Freeze,Vanilla Extract,2.94
162,Arctic Treats,Vanilla Extract,1.9
162,Arctic Treats,Stabilizers,1.78
162,Arctic Treats,Packaging,0.55
162,Arctic Treats,Chocolate,8.57
162,Arctic Treats,Fruit,9.01
163,Velvet Freeze,Stabilizers,4.91
163,Velvet Freeze,Sugar,8.12
163,Velvet Freeze,Emulsifiers,2.88
164,Polar Joy,Flavoring,7.53
164,Polar Joy,Packaging,0.86
164,Polar Joy,Vanilla Extract,9.1
165,Arctic Treats,Vanilla Extract,5.8
165,Arctic Treats,Emulsifiers,5.41
165,Arctic Treats,Fruit,1.95
165,Arctic Treats,Cream,8.86
165,Arctic Treats,Chocolate,6.47
166,Velvet Freeze,Stabilizers,2.36
166,Velvet Freeze,Fruit,5.12
166,Velvet Freeze,Milk,5.14
167,Creamy Bliss,Cream,3.69
167,Creamy Bliss,Packaging,9.94
167,Creamy Bliss,Flavoring,3.39
167,Creamy Bliss,Milk,3.26
168,Frosty Delights,Stabilizers,3.05
168,Frosty Delights,Fruit,5.9
168,Frosty Delights,Vanilla Extract,1.54
169,Creamy Bliss,Packaging,1.16
169,Creamy Bliss,Sugar,6.26
169,Creamy Bliss,Cream,8.08
169,Creamy Bliss,Fruit,7.59
169,Creamy Bliss,Stabilizers,4.95
170,Polar Joy,Sugar,3.49
170,Polar Joy,Cream,2.35
170,Polar Joy,Packaging,4.07
170,Polar Joy,Stabilizers,6.48
171,Arctic Treats,Stabilizers,1.52
171,Arctic Treats,Sugar,8.01
171,Arctic Treats,Emulsifiers,1.27
172,Sunny Scoops,Cream,7.94
172,Sunny Scoops,Packaging,4.51
